player,fname,lname,pname,pos1,pos2,height,weight,yob,forty,bench,vertical,broad,shuttle,cone,dpos,col,dv,start,cteam,posd,jnum,dcp
KB-1600,Kyle,Bosworth,K.Bosworth,LB,,73,236,1986,4.69,25,32.5,117,4.11,6.67,0,UCLA,Pacific 10,2011,INA,INA,0,0
KB-1700,Kyle,Brady,K.Brady,TE,,78,278,1972,0,0,0,0,0,0,9,Penn State,Big Ten,1995,INA,INA,0,0
KB-1800,Kevin,Breedlove,K.Breedlove,OL,,75,315,1980,0,0,0,0,0,0,0,Georgia,Southeastern (SEC),2003,INA,INA,0,0
KB-1850,Kyle,Brindza,K.Brindza,K,,73,236,1993,5.17,21,31,0,0,0,0,Notre Dame,FBS Independents,2015,INA,INA,0,0
KB-1900,Kenny,Britt,K.Britt,WR,,75,215,1988,4.49,23,37,124,4.47,0,30,Rutgers,Big East,2009,STL,LWR,18,1
KB-2000,Kevin,Brock,K.Brock,TE,,77,260,1986,0,0,0,0,0,0,0,Rutgers,Big East,2009,INA,INA,0,0
KB-2100,Keith,Brooking,K.Brooking,LB,,74,242,1975,0,0,0,0,0,0,12,Georgia Tech,Atlantic Coast (ACC),1998,INA,INA,0,0
KB-2200,Kareem,Brown,K.Brown,DL,,77,303,1983,0,0,0,0,0,0,127,Miami (FL),Atlantic Coast (ACC),2007,INA,INA,0,0
KB-2250,Kourtnei,Brown,K.Brown,DL,LB,78,255,1988,4.69,26,31,116,4.47,7.44,0,Clemson,Atlantic Coast (ACC),2012,TB,RDE,59,3
KB-2300,Kris,Brown,K.Brown,K,,71,206,1976,0,0,0,0,0,0,228,Nebraska,Big 12,1999,INA,INA,0,0
KB-2350,Keith,Browner,K.Browner,DL,,76,276,1988,4.98,18,28,104,4.53,7.48,0,California,Pacific 12,2011,INA,INA,0,0
KB-2400,Keith,Bulluck,K.Bulluck,LB,,75,235,1977,4.47,0,38,119,4.13,7.33,30,Syracuse,Big East,2000,INA,INA,0,0
KB-2450,Kaelin,Burnett,K.Burnett,LB,,76,234,1989,0,0,0,0,0,0,0,Nevada,Western Athletic,2012,INA,INA,0,0
