"Name","Pos","Year","Tackles","TFL","Sacks","Int","PBU","FF","FR","College","teamTacklePerc","Height","Weight"
"B.J. Goodson","LB","SR",83.5,14,5.5,2,3,1,1,"clemson",11,73,250
"T.J. Green","S","JR",81,5.5,1,0,3,2,0,"clemson",10.7,75,205
"Ben Boulware","LB","JR",63,8,3.5,2,7,3,0,"clemson",8.3,71,240
"Kevin Dodd","DE","JR",53,23.5,12,0,0,1,0,"clemson",7,77,275
"Jayron Kearse","S","JR",51.5,6.5,0,1,6,1,1,"clemson",6.8,77,220
"Shaq Lawson","DE","JR",48,25.5,12.5,0,0,1,0,"clemson",6.3,75,270
"Cordrea Tankersley","CB","JR",43.5,3.5,1,5,9,0,0,"clemson",5.7,73,195
"Travis Blanks","LB","JR",31,4,1,0,2,0,0,"clemson",4.1,73,210
"Dorian O'Daniel","LB","SO",29,5.5,0,0,1,0,0,"clemson",3.8,73,215
"Carlos Watkins","DT","JR",26,7.5,3.5,1,3,0,0,"clemson",3.4,75,300
"Christian Wilkins","DT","FR",25.5,4.5,2,0,0,1,0,"clemson",3.4,76,315
"Mackensie Alexander","CB","SO",20.5,2,0,0,5,0,0,"clemson",2.7,71,195
"Austin Bryant","DE","FR",18,2,1.5,0,1,0,0,"clemson",2.4,76,265
"Van Smith","S","FR",16,1,0,1,0,0,0,"clemson",2.1,72,190
"Roderick Byers","DT","SR",15,1,0,0,1,0,0,"clemson",2,76,295
"Ryan Carter","CB","SO",13.5,1,0,0,2,0,0,"clemson",1.8,69,175
"Jadar Johnson","S","JR",13.5,0.5,0,2,1,0,0,"clemson",1.8,73,205
"Scott Pagano","DT","SO",13,2,0,0,0,0,0,"clemson",1.7,75,295
"Jalen Williams","LB","FR",11,2.5,2,0,0,0,0,"clemson",1.5,69,225
"Adrian Baker","CB","SO",11,0,0,2,1,0,0,"clemson",1.5,72,180
"D.J. Reader","DT","SR",10.5,1.5,0.5,0,0,0,0,"clemson",1.4,75,325
"Judah Davis","LB","FR",8,0.5,0,0,0,0,0,"clemson",1.1,73,230
"Richard Yeargin","DE","FR",6.5,1,1,0,0,0,0,"clemson",0.9,75,255
"Jabril Robinson","DT","FR",5.5,1,1,0,0,0,0,"clemson",0.7,74,280
"Jefferie Gibson","S","FR",5.5,1,0,0,0,0,0,"clemson",0.7,76,200
"Raekwon McMillan","LB","SO",88,4,1.5,0,4,0,0,"ohio-state",12.7,74,240
"Joshua Perry","LB","SR",79,7.5,3.5,0,4,0,0,"ohio-state",11.4,76,254
"Tyvis Powell","S","JR",56,0.5,0,3,3,0,0,"ohio-state",8.1,75,210
"Vonn Bell","S","JR",54,1,0,2,9,0,1,"ohio-state",7.8,71,205
"Darron Lee","LB","SO",51,11,4.5,1,2,2,0,"ohio-state",7.4,74,235
"Joey Bosa","DE","JR",43,16,5,1,4,1,0,"ohio-state",6.2,78,275
"Tyquan Lewis","DL","SO",42.5,14,8,0,1,0,0,"ohio-state",6.1,76,260
"Gareon Conley","CB","SO",41,1,0.5,2,5,0,0,"ohio-state",5.9,72,195
"Adolphus Washington","DL","SR",36,7,4,1,1,1,0,"ohio-state",5.2,76,290
"Eli Apple","CB","SO",28,2,0,1,8,0,1,"ohio-state",4,73,200
"Sam Hubbard","DE","FR",22,8,6.5,1,1,1,0,"ohio-state",3.2,77,265
"Dante Booker","LB","SO",18,1,0,0,0,0,0,"ohio-state",2.6,75,233
"Tommy Schutt","DL","SR",16,5,2.5,0,0,1,0,"ohio-state",2.3,75,290
"Chris Worley","LB","SO",15,1.5,1,0,0,1,0,"ohio-state",2.2,74,225
"Cam Williams","LB","SR",10,0.5,0,0,0,0,0,"ohio-state",1.4,73,225
"Jalyn Holmes","DL","SO",8,1.5,1,0,0,1,0,"ohio-state",1.2,77,265
"Michael Hill","DL","SO",8,0.5,0,0,0,0,0,"ohio-state",1.2,75,295
"Malik Hooker","S","FR",8,0,0,0,0,0,0,"ohio-state",1.2,74,205
"Joel Hale","OL","SR",7,0,0,0,0,0,0,"ohio-state",1,76,295
"Damon Webb","CB","SO",6.5,0,0,0,0,0,0,"ohio-state",0.9,71,193
"Terry McLaurin","WR","FR",6,0,0,0,0,0,0,"ohio-state",0.9,73,200
"Denzel Ward","CB","FR",6,0,0,0,0,0,0,"ohio-state",0.9,71,180
"Erick Smith","S","SO",5.5,0,0,0,0,0,0,"ohio-state",0.8,72,202
"Parris Campbell","WR","FR",5,0,0,0,0,0,0,"ohio-state",0.7,73,205
"Marshon Lattimore","CB","FR",4.5,0,0,0,3,0,0,"ohio-state",0.7,72,195
"Dominique Alexander","LB","JR",78.5,7,0.5,1,2,0,0,"oklahoma",10.4,72,220
"Jordan Evans","LB","JR",66,5,1,0,4,1,1,"oklahoma",8.7,74,239
"Ahmad Thomas","S","JR",62,1.5,1.5,3,3,0,0,"oklahoma",8.2,72,213
"Eric Striker","LB","SR",54,19,7.5,1,3,1,0,"oklahoma",7.2,72,222
"Steven Parker","S","SO",50.5,4,1.5,0,4,0,0,"oklahoma",6.7,73,200
"Charles Tapper","DE","SR",40.5,10,7,0,3,4,1,"oklahoma",5.4,74,282
"Zack Sanchez","CB","JR",40.5,3.5,0.5,7,7,0,0,"oklahoma",5.4,71,179
"Jordan Thomas","CB","SO",40,0,0,5,4,0,0,"oklahoma",5.3,72,191
"Frank Shannon","LB","SR",38.5,1,1,1,0,0,0,"oklahoma",5.1,72,239
"Devante Bond","LB","SR",35.5,7,3,0,2,1,0,"oklahoma",4.7,73,238
"Charles Walker","DT","SO",30.5,10,6,0,1,1,0,"oklahoma",4,74,297
"Matt Dimon","DT","JR",25,7,2.5,0,0,1,0,"oklahoma",3.3,74,260
"Dakota Austin","CB","JR",24,1,0,2,3,0,0,"oklahoma",3.2,70,157
"Hatari Byrd","S","JR",21.5,0,0,0,0,0,0,"oklahoma",2.8,73,206
"Jordan Wade","DT","JR",18.5,2,1,0,1,0,0,"oklahoma",2.5,75,300
"Matthew Romar","DT","SO",18.5,1.5,1,0,0,0,0,"oklahoma",2.5,72,291
"William Johnson","CB","SO",12.5,3,0,0,1,0,0,"oklahoma",1.7,72,182
"D.J. Ward","DE","SO",12,1,1,0,0,0,1,"oklahoma",1.6,74,259
"P.L. Lindley","LB","SR",11,3,0.5,0,1,0,0,"oklahoma",1.5,73,257
"Marcus Green","CB","FR",8,0,0,0,0,0,0,"oklahoma",1.1,73,179
"Tay Evans","LB","FR",6.5,0,0,0,0,0,0,"oklahoma",0.9,74,235
"Ruben Hunter","LB","SO",6.5,0,0,0,0,0,0,"oklahoma",0.9,74,215
"Ogbonnia Okoronkwo","LB","SO",6,1,1,0,0,0,0,"oklahoma",0.8,74,236
"Kahlil Haughton","S","FR",6,0.5,0.5,0,0,0,0,"oklahoma",0.8,73,185
"P.J. Mbanasor","CB","FR",6,0,0,0,1,0,0,"oklahoma",0.8,72,192
"DeMarquis Gates","LB","SO",61,2,0,0,4,2,0,"ole-miss",7.6,74,217
"Mike Hilton","DB","SR",59.5,12.5,1.5,2,13,1,0,"ole-miss",7.4,69,184
"Trae Elston","DB","SR",57,5,0,4,14,0,0,"ole-miss",7.1,71,195
"Denzel Nkemdiche","LB","SR",44.5,6.5,0.5,0,1,0,0,"ole-miss",5.5,71,208
"Marquis Haynes","DE","SO",36,16.5,10,0,2,3,0,"ole-miss",4.5,75,220
"Kendarius Webster","DB","SO",35.5,3,0,1,11,0,0,"ole-miss",4.4,71,180
"C.J. Johnson","LB","SR",34,3,2,2,1,1,1,"ole-miss",4.2,74,225
"Tony Bridges","DB","JR",32.5,2,0,3,9,0,0,"ole-miss",4,72,183
"D.J. Jones","DT","JR",31.5,5.5,4,0,0,1,0,"ole-miss",3.9,72,324
"Terry Caldwell","LB","JR",28.5,2,1,0,0,2,0,"ole-miss",3.5,73,216
"Channing Ward","DE","SR",28,6.5,3,0,3,1,0,"ole-miss",3.5,76,279
"Christian Russell","LB","SR",27,4.5,0,1,0,1,0,"ole-miss",3.4,72,232
"C.J. Hampton","DB","SO",25,1,0,0,1,0,0,"ole-miss",3.1,72,179
"Fadol Brown","DE","JR",23.5,4.5,1,0,0,0,0,"ole-miss",2.9,76,280
"Breeland Speaks","DT","FR",23,5.5,1,0,2,0,0,"ole-miss",2.9,75,313
"Woodrow Hamilton","DT","SR",22.5,3.5,1,0,0,0,0,"ole-miss",2.8,75,319
"Robert Nkemdiche","DT","JR",21,7,3,0,2,0,0,"ole-miss",2.6,76,296
"Zedrick Woods","DB","FR",20.5,1,0,1,0,0,0,"ole-miss",2.5,71,197
"Chief Brown","DB","SR",20,0.5,0,1,3,0,0,"ole-miss",2.5,73,202
"A.J. Moore","DB","SO",19,1,1,0,0,2,0,"ole-miss",2.4,72,199
"Carlos Davis","DB","JR",18.5,1.5,0,0,1,0,0,"ole-miss",2.3,68,171
"John Youngblood","DE","JR",15.5,1.5,0,0,1,0,0,"ole-miss",1.9,75,255
"C.J. Moore","DB","SO",15.5,0.5,0,0,2,0,0,"ole-miss",1.9,71,190
"Tony Conner","DB","JR",12.5,4,0,0,0,0,0,"ole-miss",1.6,72,215
"Victor Evans","DE","FR",12,2,0,0,0,0,0,"ole-miss",1.5,75,238
"Joe Bolden","LB","SR",60,6.5,0,0,0,0,1,"michigan",9.7,75,232
"Desmond Morgan","LB","SR",54,2,1,1,3,1,0,"michigan",8.8,73,236
"Jarrod Wilson","S","SR",49.5,1,1,2,3,0,0,"michigan",8,74,210
"Jourdan Lewis","CB","JR",44.5,3.5,1,2,20,1,0,"michigan",7.2,70,176
"Jabrill Peppers","S","SO",39.5,5.5,0,0,10,0,0,"michigan",6.4,73,205
"Delano Hill","S","JR",39.5,2.5,0,0,2,0,0,"michigan",6.4,72,204
"Chris Wormley","DE","SR",34,14.5,6.5,0,1,1,0,"michigan",5.5,77,300
"Royce Jenkins-Stone","LB","SR",29,6,3,0,0,1,0,"michigan",4.7,74,240
"James Ross","LB","SR",28,5.5,1,0,0,0,0,"michigan",4.5,73,232
"Ben Gedeon","LB","JR",27.5,3,0,0,0,0,0,"michigan",4.5,75,241
"Maurice Hurst","DT","JR",26,6.5,3,0,0,0,0,"michigan",4.2,74,281
"Taco Charlton","DE","JR",25.5,8.5,5.5,0,0,1,0,"michigan",4.1,78,273
"Willie Henry","DT","SR",23.5,10,6.5,0,2,0,0,"michigan",3.8,75,311
"Dymonte Thomas","S","JR",20.5,0,0,0,7,0,0,"michigan",3.3,74,191
"Ryan Glasgow","DL","SR",19,5,1,0,0,0,0,"michigan",3.1,76,297
"Jeremy Clark","S","SR",18,0,0,3,3,0,0,"michigan",2.9,76,205
"Channing Stribling","CB","JR",15.5,0.5,0,2,3,0,0,"michigan",2.5,74,178
"Mario Ojemudia","DE","SR",14.5,6,2,0,0,0,0,"michigan",2.4,74,252
"Matthew Godin","DT","SR",11,1,0.5,0,0,0,0,"michigan",1.8,78,287
"Brandon Watson","DB","SO",5,0,0,0,0,0,0,"michigan",0.8,71,189
"Wayne Lyons","CB","SR",5,0,0,0,1,0,0,"michigan",0.8,73,193
"Noah Furbush","LB","SO",3.5,0,0,0,0,0,0,"michigan",0.6,76,217
"Tom Strobel","DE","SR",3,0,0,0,0,0,0,"michigan",0.5,78,270
"Jake Rudock","QB","SR",2.5,0,0,0,0,0,0,"michigan",0.4,75,208
"Kenny Allen","K","SR",2.5,0,0,0,0,0,0,"michigan",0.4,75,220
"Derwin James","DB","FR",71.5,9.5,4.5,0,4,2,1,"florida-state",10.2,75,212
"Reggie Northrup","LB","SR",69.5,1,0,0,3,0,0,"florida-state",9.9,73,231
"Lamarcus Brutus","DB","SR",57,0,0,3,1,0,0,"florida-state",8.1,72,207
"Terrance Smith","LB","SR",49.5,4.5,1,0,0,1,0,"florida-state",7,76,230
"Jalen Ramsey","DB","JR",44.5,3.5,1,0,10,0,1,"florida-state",6.3,73,202
"DeMarcus Walker","DE","JR",42,15.5,10.5,1,5,4,0,"florida-state",6,75,281
"Ro'Derrick Hoskins","LB","SO",41.5,6.5,0,0,2,0,0,"florida-state",5.9,74,238
"Javien Elliott","DB","SR",33,4,1,1,3,2,0,"florida-state",4.7,71,176
"Derrick Nnadi","DT","SO",31.5,2,2,0,0,0,0,"florida-state",4.5,73,301
"Josh Sweat","DE","FR",31,5,2,1,2,0,1,"florida-state",4.4,77,237
"Nile Lawrence-Stample","DT","SR",29.5,3.5,2.5,0,1,0,0,"florida-state",4.2,73,302
"Jacob Pugh","LB","SO",25,3,3,0,1,0,0,"florida-state",3.6,76,239
"Marquez White","DB","JR",22.5,2,0,1,2,0,0,"florida-state",3.2,72,184
"Nate Andrews","DB","JR",21,3,1,0,3,1,0,"florida-state",3,72,206
"Tyler Hunter","DB","SR",18.5,0.5,0,1,0,0,0,"florida-state",2.6,71,198
"Trey Marshall","DB","SO",17.5,1,1,0,1,0,0,"florida-state",2.5,72,207
"Giorgio Newberry","DT","SR",14,3,2,0,6,0,0,"florida-state",2,78,295
"Demarcus Christmas","DT","FR",11.5,0.5,0.5,0,2,0,0,"florida-state",1.6,76,301
"Lorenzo Phillips","LB","JR",9,1.5,0,0,0,0,0,"florida-state",1.3,74,225
"Keelin Smith","DB","SR",8.5,0,0,0,0,0,0,"florida-state",1.2,75,190
"Tyrell Lyons","DB","SO",7,0.5,0,0,0,0,0,"florida-state",1,73,219
"Chris Casher","DE","JR",5.5,0.5,0,0,0,0,0,"florida-state",0.8,76,256
"Rick Leonard","DE","SO",4.5,2.5,0,0,0,0,0,"florida-state",0.6,79,281
"Fredrick Jones","DT","FR",4.5,1,0,0,0,0,0,"florida-state",0.6,74,304
"Tarvarus McFadden","DB","FR",4,0,0,0,0,0,0,"florida-state",0.6,74,197
"Jaylon Smith","LB","JR",91.5,9,1,0,5,1,1,"notre-dame",13,74,240
"Elijah Shumate","S","SR",61,6.5,0,1,2,0,0,"notre-dame",8.7,72,224
"Joe Schmidt","LB","SR",60,4,1,1,3,0,0,"notre-dame",8.5,73,235
"KeiVarae Russell","CB","SR",54,3.5,1,2,4,2,0,"notre-dame",7.7,71,196
"Max Redfield","S","JR",51.5,2,1,1,2,0,0,"notre-dame",7.3,73,205
"Isaac Rochell","DL","JR",47,7.5,1,0,2,0,0,"notre-dame",6.7,75,287
"Romeo Okwara","DL","SR",40.5,13.5,9,0,0,1,0,"notre-dame",5.8,76,270
"Sheldon Day","DL","SR",39,15.5,4,0,4,2,0,"notre-dame",5.5,74,285
"Cole Luke","CB","JR",35,1,0,2,5,0,0,"notre-dame",5,71,193
"Matthias Farley","CB","SR",34,0,0,1,1,1,0,"notre-dame",4.8,71,210
"James Onwualu","LB","JR",29.5,6,3,0,2,1,0,"notre-dame",4.2,73,232
"Greer Martini","LB","SO",27,2.5,1,0,0,0,0,"notre-dame",3.8,74,245
"Jarrett Grace","LB","SR",20.5,1.5,0,0,0,0,0,"notre-dame",2.9,74,253
"Andrew Trumbetti","DL","SO",13.5,2.5,1,1,0,0,0,"notre-dame",1.9,75,260
"Daniel Cage","DL","SO",13,4,0,0,0,0,0,"notre-dame",1.8,73,315
"Nyles Morgan","LB","SO",13,0,0,0,0,1,0,"notre-dame",1.8,73,240
"Jerry Tillery","DL","FR",10.5,2,1,0,0,0,0,"notre-dame",1.5,78,305
"Te'von Coney","LB","FR",9.5,0.5,0,0,0,0,0,"notre-dame",1.4,73,235
"Devin Butler","CB","JR",8.5,0,0,0,2,0,0,"notre-dame",1.2,73,200
"Drue Tranquill","S","SO",7.5,2.5,0,0,2,0,0,"notre-dame",1.1,73,225
"Nick Watkins","CB","SO",6.5,0,0,0,1,0,0,"notre-dame",0.9,73,200
"Nicky Baratti","S","SR",6,0,0,0,0,0,0,"notre-dame",0.9,73,210
"Doug Randolph","DL","JR",4.5,0,0,0,0,0,0,"notre-dame",0.6,74,255
"Tyler Newsome","P","SO",3.5,0,0,0,0,0,0,"notre-dame",0.5,74,205
"Nick Coleman","DB","FR",3.5,0,0,0,2,0,0,"notre-dame",0.5,71,185
"Deion Jones","LB","SR",78.5,13.5,5,2,3,1,0,"lsu",12.5,73,227
"Kendell Beckwith","LB","JR",67,10,3.5,0,1,2,0,"lsu",10.7,74,252
"Jamal Adams","S","SO",57,5,0,4,6,1,0,"lsu",9.1,73,211
"Tre'Davious White","CB","JR",37,1.5,0,0,7,0,0,"lsu",5.9,71,191
"Lewis Neal","DE","JR",35.5,9.5,8,0,6,1,0,"lsu",5.6,74,264
"Arden Key","DE","FR",30.5,6.5,5,0,1,0,0,"lsu",4.8,78,231
"Kevin Toliver II","CB","FR",29.5,2,0,1,5,0,0,"lsu",4.7,74,196
"Dwayne Thomas","DB","JR",29,3,0,0,6,0,0,"lsu",4.6,72,186
"Rickey Jefferson","S","JR",28.5,1,1,1,3,0,0,"lsu",4.5,72,206
"Jalen Mills","S","SR",27.5,1,1,0,3,0,0,"lsu",4.4,72,196
"Davon Godchaux","DT","SO",26.5,9,6,0,1,1,0,"lsu",4.2,76,293
"Donte Jackson","DB","FR",23.5,0.5,0,1,2,0,0,"lsu",3.7,71,167
"Lamar Louis","LB","SR",21.5,1,0,0,0,0,0,"lsu",3.4,71,232
"Christian LaCouture","DT","JR",21,2.5,1,0,1,1,0,"lsu",3.3,77,307
"Duke Riley","LB","JR",18,0.5,0,0,0,0,0,"lsu",2.9,72,227
"Frank Herron","DT","SO",16,2,1,0,0,1,0,"lsu",2.5,76,289
"Tashawn Bower","DE","JR",12,4,1.5,0,1,1,0,"lsu",1.9,77,240
"Corey Thompson","S","JR",11.5,0,0,0,0,0,0,"lsu",1.8,74,221
"Sione Teuhema","DE","SO",10,2,0,0,0,0,0,"lsu",1.6,76,251
"Donnie Alexander","LB","SO",9,0,0,0,0,0,0,"lsu",1.4,73,215
"Greg Gilmore","DT","SO",8.5,1.5,1,0,0,0,0,"lsu",1.4,76,313
"Devin Voorhies","LB","SO",5,0,0,0,0,1,0,"lsu",0.8,73,216
"Derrius Guice","RB","FR",5,0,0,0,0,0,0,"lsu",0.8,71,222
"Ed Paris","CB","SO",3.5,0,0,0,0,0,0,"lsu",0.6,73,210
"John Battle","S","SO",3,0,0,1,1,0,0,"lsu",0.5,73,194
"Blake Martinez","ILB","SR",107.5,6.5,1.5,1,6,1,0,"stanford",15.2,74,245
"Dallas Lloyd","SS","SR",44.5,0.5,0,1,2,1,0,"stanford",6.3,75,207
"Aziz Shittu","DE","SR",42.5,14,4,0,3,0,0,"stanford",6,75,279
"Peter Kalambayi","OLB","JR",42,5.5,4.5,0,3,1,0,"stanford",5.9,75,242
"Alameen Murphy","CB","SO",38.5,0.5,0,0,1,0,0,"stanford",5.4,71,192
"Kodi Whitfield","SS","SR",36.5,2.5,1,1,2,1,0,"stanford",5.1,74,202
"Alijah Holder","CB","SO",32.5,1,0,1,7,0,0,"stanford",4.6,74,184
"Solomon Thomas","DE","SO",31.5,10.5,3.5,0,0,0,1,"stanford",4.4,75,271
"Joey Alfieri","OLB","SO",31.5,7,3.5,0,0,0,0,"stanford",4.4,75,240
"Ronnie Harris","CB","SR",31.5,1.5,0.5,0,10,0,0,"stanford",4.4,70,172
"Kevin Anderson","OLB","SR",30.5,8.5,2,0,0,0,1,"stanford",4.3,76,244
"Kevin Palma","ILB","JR",29.5,1.5,1,0,0,0,0,"stanford",4.2,74,252
"Quenton Meeks","CB","FR",29,1.5,0,3,4,0,0,"stanford",4.1,74,195
"Brennan Scarlett","DE","SR",25.5,8,5.5,0,2,2,0,"stanford",3.6,76,264
"Terrence Alexander","CB","SO",25.5,0.5,0,0,4,0,0,"stanford",3.6,70,182
"Jordan Perez","ILB","SO",20.5,1,0,0,2,0,0,"stanford",2.9,74,219
"Justin Reid","SS","FR",19.5,0,0,1,1,0,0,"stanford",2.8,73,195
"Mike Tyler","OLB","JR",13,6.5,5,0,1,0,0,"stanford",1.8,77,234
"Mustafa Branch","ILB","FR",13,0,0,0,0,0,0,"stanford",1.8,71,218
"Craig Jones","ILB","SR",11,0,0,0,0,0,0,"stanford",1.6,72,223
"Noor Davis","ILB","SR",9.5,1,0,0,0,0,0,"stanford",1.3,76,247
"Ben Edwards","FS","FR",7,0,0,0,1,0,0,"stanford",1,72,191
"Brandon Simmons","FS","SO",6,0,0,0,0,0,0,"stanford",0.8,72,189
"Bobby Okereke","ILB","SO",4,0,0,0,1,0,0,"stanford",0.6,75,226
"Taijuan Thomas","CB","JR",4,0,0,0,0,0,0,"stanford",0.6,70,173
"TJ McCollum","LB","SO",87.5,11.5,3,1,3,1,0,"western-kentucky",11,75,230
"Branden Leston","DB","JR",83,3,0,1,3,0,1,"western-kentucky",10.4,75,205
"Nick Holt","LB","SR",72.5,7.5,4,3,4,2,0,"western-kentucky",9.1,73,230
"Dejon Brown","LB","SR",52.5,7,2,0,2,2,1,"western-kentucky",6.6,75,250
"Marcus Ward","DB","JR",47,7.5,2,1,8,2,0,"western-kentucky",5.9,75,210
"Derik Overstreet","DL","SO",39.5,9,2,0,1,1,0,"western-kentucky",5,74,250
"Prince Charles Iworah","DB","SR",38.5,1,0,4,11,0,0,"western-kentucky",4.8,71,190
"Wonderful Terry","DB","SR",32,1,0,2,5,1,0,"western-kentucky",4,70,190
"Joe Brown","DB","SO",30.5,1.5,0,1,9,0,0,"western-kentucky",3.8,70,190
"Gavin Rocker","DL","SR",29.5,6,2.5,0,1,0,0,"western-kentucky",3.7,74,255
"Jontavius Morris","DL","SR",25,5,2,0,3,0,0,"western-kentucky",3.1,74,305
"Omarius Bryant","DL","JR",23.5,3.5,1.5,0,0,0,0,"western-kentucky",2.9,75,310
"Nick Newton","LB","SR",18.5,2.5,1,1,1,1,0,"western-kentucky",2.3,76,245
"Masai Whyte","LB","FR",17,1,0,0,1,0,0,"western-kentucky",2.1,72,218
"Joel Iyiegbuniwe","LB","FR",16.5,1,1,0,0,0,0,"western-kentucky",2.1,74,220
"Ge'Monee Brown","DL","SR",15,2.5,0.5,0,0,0,0,"western-kentucky",1.9,74,305
"Drew Davis","LB","JR",15,0,0,0,0,0,0,"western-kentucky",1.9,73,225
"De'Andre Simmons","DB","SO",14.5,1,0,1,1,0,0,"western-kentucky",1.8,71,185
"Leverick Johnson","DB","SO",14,1,1,1,0,0,0,"western-kentucky",1.8,73,185
"Tanner Reeves","DL","SO",13.5,4.5,1.5,0,0,1,0,"western-kentucky",1.7,76,240
"Shaquille Johnson","TE","JR",12.5,0,0,0,0,0,0,"western-kentucky",1.6,76,235
"Bryan Shorter","DL","SR",12,2,1,0,1,0,0,"western-kentucky",1.5,74,280
"Daeshawn Bertram","LB","SO",11.5,0,0,0,0,0,0,"western-kentucky",1.4,71,220
"DeAndre Farris","DB","FR",11,1,0,1,0,0,0,"western-kentucky",1.4,70,190
"Drell Greene","DB","FR",10.5,0,0,0,0,0,0,"western-kentucky",1.3,73,190
"Azeem Victor","LB","SO",77,9,1.5,1,6,2,0,"washington",10.3,75,240
"Keishawn Bierria","LB","SO",64,7.5,3.5,0,0,1,0,"washington",8.5,73,220
"Brian Clay","DB","SR",54.5,1.5,0.5,0,1,0,0,"washington",7.3,73,207
"Cory Littleton","OLB","SR",52,11,6,0,2,0,0,"washington",6.9,75,227
"Travis Feeney","LB","SR",48,17.5,8,0,2,3,0,"washington",6.4,76,226
"Budda Baker","DB","SO",40.5,1.5,0,2,7,0,0,"washington",5.4,70,178
"Sidney Jones","DB","SO",38.5,3.5,0,4,10,4,2,"washington",5.1,72,178
"Darren Gardenhire","DB","SO",35,0,0,2,6,0,1,"washington",4.7,71,185
"Taniela Tupou","DL","SR",32,5.5,0,0,1,1,0,"washington",4.3,74,288
"Kevin King","DB","JR",31.5,4.5,0,3,5,1,0,"washington",4.2,75,183
"JoJo McIntosh","DB","FR",29,0,0,1,3,0,0,"washington",3.9,72,196
"Ben Burr-Kirven","LB","FR",26.5,1,1,0,0,0,0,"washington",3.5,72,201
"Joe Mathis","DL","JR",21.5,6,2,0,0,1,0,"washington",2.9,74,252
"Elijah Qualls","DL","SO",21,4.5,4.5,0,0,0,0,"washington",2.8,73,311
"Greg Gaines","DL","FR",20,1,0,0,0,0,0,"washington",2.7,73,310
"Ezekiel Turner","DB","SO",17.5,0,0,0,0,0,0,"washington",2.3,74,206
"Psalm Wooching","OLB","JR",16.5,4.5,2,0,1,0,1,"washington",2.2,76,236
"Scott Lawyer","LB","SR",16.5,0.5,0,0,0,0,0,"washington",2.2,74,232
"Vita Vea","DL","FR",15,3,1,0,0,1,0,"washington",2,77,340
"Brandon Beaver","DB","JR",11,0,0,1,1,0,0,"washington",1.5,72,196
"Tevis Bartlett","LB","FR",9,0,0,0,1,0,0,"washington",1.2,74,218
"Sean Constantine","LB","SO",8,1,0,0,0,0,0,"washington",1.1,74,225
"Connor O'Brien","LB","SO",7,3,2,0,0,0,0,"washington",0.9,75,238
"Will Dissly","DL","SO",7,3,1,0,0,1,0,"washington",0.9,76,277
"Jaylen Johnson","DL","FR",6,2,1,0,0,0,0,"washington",0.8,74,260
"Riley Bullough","LB","JR",77,7.5,4,2,2,2,1,"michigan-state",11,74,230
"Montae Nicholson","S","SO",67.5,2.5,0,3,2,1,0,"michigan-state",9.7,74,220
"Darien Harris","LB","SR",66,9,0,0,3,0,0,"michigan-state",9.4,72,220
"Demetrious Cox","DB","JR",63.5,2,0,3,7,0,1,"michigan-state",9.1,73,200
"Jon Reschke","LB","SO",53,5.5,2,0,2,0,0,"michigan-state",7.6,74,228
"Arjen Colquhoun","CB","SR",38,1.5,1,2,10,2,0,"michigan-state",5.4,73,202
"Shilique Calhoun","DE","SR",35.5,15,10.5,0,3,1,0,"michigan-state",5.1,77,250
"Malik McDowell","DL","SO",31,13,4.5,1,0,2,0,"michigan-state",4.4,78,275
"Darian Hicks","CB","JR",25.5,0.5,0,0,3,0,0,"michigan-state",3.6,70,180
"Lawrence Thomas","DL","SR",24.5,5,3,0,5,0,0,"michigan-state",3.5,76,305
"Joel Heath","DL","SR",22,5.5,2,0,1,1,0,"michigan-state",3.1,78,293
"Grayson Miller","S","FR",20,1,0,1,0,0,0,"michigan-state",2.9,75,200
"Jermaine Edmondson","CB","JR",19.5,2.5,0,0,3,0,0,"michigan-state",2.8,72,182
"Chris Frey","LB","SO",17.5,5,2.5,0,0,0,0,"michigan-state",2.5,74,235
"RJ Williamson","S","SR",17.5,2,0,2,1,0,1,"michigan-state",2.5,72,216
"Shane Jones","LB","SO",17.5,1.5,0,0,0,2,0,"michigan-state",2.5,73,234
"Demetrius Cooper","DE","SO",16.5,6.5,5,0,0,2,0,"michigan-state",2.4,77,245
"Andrew Dowell","LB","FR",15.5,1,0,0,0,0,1,"michigan-state",2.2,72,216
"Craig Evans","DT","FR",15,3.5,1,0,0,0,0,"michigan-state",2.1,74,318
"Damon Knox","DL","SR",10,1.5,0.5,0,0,0,0,"michigan-state",1.4,77,276
"Vayante Copeland","CB","FR",6.5,2,0,1,1,0,0,"michigan-state",0.9,72,195
"Khari Willis","S","FR",6.5,0,0,0,1,0,0,"michigan-state",0.9,71,202
"Evan Jones","DE","JR",4.5,0.5,0,0,0,0,0,"michigan-state",0.6,77,248
"Gerald Holmes","RB","SO",4,0,0,0,0,0,0,"michigan-state",0.6,72,216
"Matt Morrissey","S","FR",4,0,0,0,0,0,0,"michigan-state",0.6,74,203
"Grant Campbell","LB","SR",80,5,2.5,0,1,0,0,"baylor",10.2,73,230
"Travon Blanchard","DB","SO",75,7.5,2,2,6,4,0,"baylor",9.5,74,205
"Taylor Young","LB","SO",70,13.5,4,0,1,0,0,"baylor",8.9,70,225
"Chance Waz","S","SO",62,1,0,0,3,0,0,"baylor",7.9,72,185
"Orion Stewart","S","JR",57,1.5,1,1,3,1,0,"baylor",7.3,74,200
"Aiavion Edwards","LB","JR",50,4,2,0,2,1,0,"baylor",6.4,73,225
