"gid","seas","wk","team","temp","humd","wspd","ou","sprfor","ptsfor","Sunday","Indoors","Precipitation","GoodConditions","VeryHot","VeryCold","VeryHumid","VeryWindy","BadWeather","NaturalSurface","expectedpts","expectedwin","win","tie","home","opp","ptsagainst","uid","ptdiff","STID","SOID","gm","oppgm","seasSumWins.postgame","seasSumPtDiff.postgame","seasAvgPtDiff","prevPtsAgainst","prevBye","prevWin","prevCumWin","prevPtDiff","prevCumPtDiff","prevAvgPtDiff","prevOppPtsAgainst","prevOppWin","prevOppBye","prevOppCumWin","prevOppPtDiff","prevOppCumPtDiff","prevOppAvgPtDiff"
359,2001,8,"ARI",94,21,16,39.5,7,1,0,0,0,1,0,0,1,1,1,6.5,16.5,0,0,0,1,"PHI",21,4428,-20,"ARI2001","PHI2001",7,7,2,-125,-17.8571428571429,17,0,0,2,-14,-105,-17.5,20,0,0,3,-19,-50,-8.33333333333333
373,2001,9,"ARI",83,36,7,37.5,10,1,0,0,0,1,0,0,0,1,1,5.5,16,0,0,0,1,"NYG",17,4442,-16,"ARI2001","NYG2001",8,9,2,-141,-17.625,21,0,0,2,-20,-125,-17.8571428571429,24,1,0,4,-23,-69,-8.625
388,2001,10,"ARI",79,25,0,39.5,45,1,0,0,0,1,0,0,0,1,1,-1.5,20.5,1,1,0,1,"DET",38,4457,-37,"ARI2001","DET2001",9,9,3,-178,-19.7777777777778,17,0,0,2,-16,-141,-17.625,20,0,0,0,-19,-155,-19.375
414,2001,11,"ARI",63,77,9,44.5,7,20,1,0,0,1,0,0,1,0,1,1,18.75,0,1,0,0,"SD",17,403,3,"ARI2001","SD2001",10,11,4,-175,-17.5,38,0,1,3,-37,-178,-19.7777777777778,34,0,0,5,-10,-87,-8.7
427,2001,12,"ARI",58,72,20,43,11.5,34,1,0,0,0,0,0,0,1,1,1,15.75,0,1,0,0,"OAK",31,416,3,"ARI2001","OAK2001",11,11,5,-172,-15.6363636363636,17,0,1,4,3,-175,-17.5,10,1,0,8,18,-58,-5.8
433,2001,13,"ARI",71,17,8,39,10,1,0,0,0,0,0,0,0,0,1,-1,20,1,0,0,1,"WAS",20,4502,-19,"ARI2001","WAS2001",12,12,5,-191,-15.9166666666667,31,0,1,5,3,-172,-15.6363636363636,20,0,0,5,-19,-172,-15.6363636363636
448,2001,14,"ARI",46,47,18,37,6,13,0,0,0,0,0,1,0,1,1,1,15.5,0,0,0,0,"NYG",17,437,-4,"ARI2001","NYG2001",13,13,5,-195,-15,20,0,0,5,-19,-191,-15.9166666666667,20,0,0,5,-7,-108,-9
466,2001,15,"ARI",58,33,5,37.5,17,1,0,0,0,0,0,0,0,0,1,-3,20.25,1,1,0,1,"DAL",10,4535,-9,"ARI2001","DAL2001",14,14,6,-204,-14.5714285714286,17,0,0,5,-4,-195,-15,29,0,0,4,-26,-181,-13.9230769230769
479,2001,16,"ARI",42,32,7,34,2.5,30,1,0,0,1,0,1,0,0,1,1,15.75,0,1,0,0,"CAR",7,468,23,"ARI2001","CAR2001",15,15,7,-181,-12.0666666666667,10,0,1,6,-9,-204,-14.5714285714286,38,0,0,1,-37,-201,-14.3571428571429
505,2001,17,"ARI",40,59,8,35.5,4,17,1,0,1,0,0,1,0,0,1,1,15.75,0,0,0,0,"WAS",20,494,-3,"ARI2001","WAS2001",16,16,7,-184,-11.5,7,0,1,7,23,-181,-12.0666666666667,10,1,0,7,30,-170,-11.3333333333333
547,2002,2,"ARI",62,75,8,40,3.5,24,1,0,0,0,0,0,1,0,1,0,18.25,0,1,0,0,"SEA",13,525,11,"ARI2002","SEA2002",2,2,1,3,1.5,31,0,0,0,-8,-8,-8,31,0,0,0,-14,-14,-14
551,2002,3,"ARI",100,10,17,39.5,15,1,0,0,1,1,0,0,1,1,1,1.5,19,0,0,0,1,"SD",23,4609,-22,"ARI2002","SD2002",3,3,1,-19,-6.33333333333333,13,0,1,1,11,3,1.5,3,1,0,2,-2,26,13
